id,title,publisher,scrape_date,category,url
b60442da-ada1-488e-a569-3fe39c552785,NYC mayoral candidate Brad Lander arrested at immigration court after linking arms with man being detained,newsday,6/18/2025,arrest,https://www.newsday.com/news/new-york/brad-lander-nyc-immigration-court-arrest-p56412
8b653500-a2db-416b-9413-4af5b20d9904,Spanish-language journalist who documents immigration raids detained for ICE after protest arrest,newsday,6/18/2025,detention,https://www.newsday.com/news/nation/journalist-arrested-ice-mario-guevarra-atlanta-h29049
8551d0e7-0192-404c-a82b-b993132690ee,"Beloved bagel store manager Fernando Mejia taken by ICE agents, angering Port Washington community",newsday,6/18/2025,arrest,https://www.newsday.com/long-island/nassau/fernando-mejia-bagel-store-manager-deported-ice-port-washington-ulezmv07
db06a100-a27d-4fcb-95c9-18ea13890e30,Live Updates: Trump Calls Powell 'Stupid' in Latest Attack on Fed Chair,nytimes,6/18/2025,other,https://www.nytimes.com/live/2025/06/18/us/trump-news
fdebf85d-495f-4e34-ac19-f4da1c56d2a8,Trump is moving too far on immigration. Polls prove it,usatoday,6/18/2025,opinion,https://www.usatoday.com/story/opinion/voices/2025/06/18/ice-la-protests-latino-voters-immigration/84229070007/
c6574792-4c0c-41df-b64f-44ea70a53d2b,"Illinois Democrats, immigration advocates denied entry into ICE processing center in visit Wednesday",chicagotribune,6/18/2025,detention,https://www.chicagotribune.com/2025/06/18/illinois-democrats-immigration-advocates-denied-entry-into-ice-processing-center-in-visit-wednesday/
b450ffce-d411-4b93-aaf7-c7d49cccf091,58-year U.S. green card holder faces deportation after airport detention,newsweek,6/18/2025,detention,https://www.newsweek.com/california-green-card-holder-deported-donald-trump-ice-2087380
41a54352-2328-4cd6-a434-e62e1410af3b,Mahmoud Khalil and Trump admin clash over new request to release or transfer him closer to family,nbcnews,6/18/2025,detention,https://www.nbcnews.com/news/us-news/mahmoud-khalil-trump-admin-clash-new-request-release-transfer-closer-f-rcna213691
706508f0-e22b-4a6e-b432-178fc3a4b601,The immigration crackdown is full of economic contradictions,newsday,6/18/2025,opinion,https://www.newsday.com/opinion/commentary/immigration-raids-ice-stephen-miller-levbiqmk
88cab4be-6799-4589-8898-3b58261fefeb,‘Occupation’ or fighting ‘rebellion’? 9th Circuit weighs Trump’s case for troops in LA,seattletimes,6/18/2025,policy,https://www.seattletimes.com/nation-world/nation/occupation-or-fighting-rebellion-9th-circuit-weighs-trumps-case-for-troops-in-la/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all
90ff2580-ae38-4d78-8f21-26570d49d248,Images of handcuffed Democrats start to pile up in Trump’s crackdown,seattletimes,6/18/2025,arrest,https://www.seattletimes.com/nation-world/images-of-handcuffed-democrats-start-to-pile-up-in-trumps-crackdown/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all
e7d7433e-c48a-4075-9317-665e0f93becc,"Fmr. Obama ICE Director: Lander Engaged in 'Publicity Stunt', Doesn't Have Right to 'Impede Federal Agents'",breitbart,6/18/2025,opinion,https://www.breitbart.com/clips/2025/06/18/fmr-obama-ice-director-lander-engaged-in-publicity-stunt-doesnt-have-right-to-impede-federal-agents/
bed8f33c-f85e-4928-8edf-2a6324431baf,"Vaccines, Minn. shootings, deportation, 'No Kings' rallies, Alex Padilla",newsday,6/18/2025,opinion,https://www.newsday.com/opinion/letters/vaccines-minn-shootings-deportation-no-kings-rallies-alex-padilla-ji10m9i5
bd288dec-1caa-4e48-bd0b-45a8cf935a44,"As the summer harvest season launches, confusion and uncertainty hang over California fields",latimes,6/18/2025,other,https://www.latimes.com/california/story/2025-06-17/as-summer-harvest-launches-confusion-and-uncertainty-hang-over-california-fields
f049572c-78cf-4987-abe9-1b5da6a53894,"elections, NYC, Brad Lander, Iran, Israel, Trump, ICE, abortion, Panthers, R. Kelly, Diddy: Daily Briefing",usatoday,6/18/2025,other,https://www.usatoday.com/story/news/2025/06/18/primary-virginia-new-jersey-new-york-election-ice-immigration-trump-iran-israel-abortion-stanley-cup/84255977007/
18f04bb2-0806-4fb4-8bac-1bdd90231aa5,Florida's GOP attorney general urges deportation of Democratic lawmaker,newsweek,6/18/2025,policy,https://www.newsweek.com/ilhan-omar-deport-uthmeier-desantis-2087344
16113371-9a1b-4fb2-9dce-97679ec8915b,ICE detains green card-holder returning from visit to son in US Air Force,newsweek,6/18/2025,detention,https://www.newsweek.com/ice-detains-green-card-holder-returning-visit-son-us-air-force-2087397
e373e84a-fd83-4723-ae5a-21a6da1e1bd7,Trump Has Already Thoroughly Corrupted One Major Election,talkingpointsmemo,6/18/2025,other,https://talkingpointsmemo.com/morning-memo/trump-has-already-thoroughly-corrupted-nyc-mayor-election
ed9c768c-a95a-43c9-83e4-314155b8bec8,Omaha Public Schools families call for more action by district following ICE raid,omaha.com,6/18/2025,raid,https://omaha.com/news/local/education/article_bbe97469-fcae-4888-8b23-df045c766808.html
