id,title,publisher,scrape_date,category,url,address,city,state,zip,latitude,longitude
c5836282-76b7-4c66-a2c4-2e504df3783f,Thousands of Afghans face expulsion from US as Trump removes protections,theguardian.com,2025-06-21,policy,https://www.theguardian.com/us-news/2025/jun/21/afghanistan-trump-deportation-threat,,,,,,
54b39877-3838-4158-a73c-476a7003754c,"JD Vance mocks Sen. Alex Padilla, criticizes California officials",upi.com,2025-06-21,opinion,https://www.upi.com/Top_News/US/2025/06/21/los-angeles-california-alex-padilla-jd-vance/8411750521843/,,,,,,
a33b46e8-379d-43f5-a9e7-2366c9657b4e,‘Authoritarian playbook’: DHS accuses critics of assaulting officers when videos say otherwise,theguardian.com,2025-06-21,opinion,https://www.theguardian.com/us-news/2025/jun/21/dhs-violence-false-claims,,,,,,
a54942e1-d309-41b3-9db0-f771630c689b,‘New Yorkers have been betrayed’: can Zohran Mamdani become the most progressive mayor in the city’s history?,theguardian.com,2025-06-21,unknown,https://www.theguardian.com/us-news/2025/jun/21/zohran-mamdani-profile,,,,,,
2f8f4eb9-5d29-4f97-ae9c-e785d49a21d4,Mahmoud Khalil arrives in New Jersey after release from ICE custody,cbsnews.com,2025-06-21,detention,https://www.cbsnews.com/newyork/news/mahmoud-khalil-ice-detention-release-arrives-new-jersey/,,,New Jersey,,,
4cc550ce-f392-46a2-a3d0-d1a7e80cbd60,Los Angeles Dodgers donate $1m to families affected by Ice raids,theguardian.com,2025-06-21,raid,https://www.theguardian.com/sport/2025/jun/21/los-angeles-dodgers-ice-raids,,Los Angeles,CA,,,
9f79d51d-064f-4b73-bce1-25d096295a4b,Trump's Admin Is Policing Foreign Students' Social Media for 'Political Activism',rollingstone.com,2025-06-21,policy,https://www.rollingstone.com/politics/politics-news/trump-rubio-state-department-students-social-media-activism-1235369555/,,,,,,
a0bf8a0b-cbaf-4990-b125-64986bd1da61,Community Defense Groups Take the Last Stand Against ICE in LA,theintercept.com,2025-06-21,protest,https://theintercept.com/2025/06/21/los-angeles-ice-raids-immigrants-organizing/,,Los Angeles,CA,,,
933035eb-0f57-44a7-b271-00037ccc0ca2,Masked ICE officers: The new calling card of the Trump administration’s immigration crackdown,cnn.com,2025-06-21,policy,https://www.cnn.com/us/ice-immigration-officers-face-masks,,,,,,
a8125475-f741-4934-9098-f9f8cc13fd5a,"As Ice infiltrates LA, neighborhoods fall quiet: ‘We can’t even go out for a walk’",theguardian.com,2025-06-21,raid,https://www.theguardian.com/us-news/2025/jun/21/los-angeles-ice-immigration-raids-impact,,Los Angeles,CA,,,
4059aefd-8957-42ec-9be5-f864c760c6d3,Mahmoud Khalil speaks after release from Ice detention – video,theguardian.com,2025-06-21,detention,https://www.theguardian.com/us-news/video/2025/jun/21/mahmoud-khalil-released-from-us-detention-after-more-than-three-months-video,,,,,,
ab69f381-a108-4fa1-bae8-5c40edfa8cbf,Mahmoud Khalil reunites with family after more than 100 days in Ice detention,theguardian.com,2025-06-21,detention,https://www.theguardian.com/us-news/2025/jun/21/mahmoud-khalil-released-family,,,,,,
975acda1-8c6f-4c15-84c5-df0e1d651aab,Mahmoud Khalil met with cheers at airport in New Jersey,cnn.com,2025-06-21,detention,https://www.cnn.com/2025/06/21/us/video/mahmoud-khalil-newark-airport-return-digvid,,,New Jersey,,,
3f7b4195-5952-4af4-9a87-1ac9816de518,Trump and his minions keep lying about heinous ICE raids caught on camera,dailykos.com,2025-06-21,opinion,https://www.dailykos.com/story/2025/6/20/2329150/-Trump-and-his-minions-keep-lying-about-heinous-ICE-raids-caught-on-camera?pm_campaign=blog&pm_medium=rss&pm_source=,,,,,,
6ab3f00b-7284-485f-9ae1-3cf9bbd60686,New insight into Texas family detention reveals adults fighting kids for clean water,seattletimes.com,2025-06-21,detention,https://www.seattletimes.com/nation-world/nation/new-insight-into-texas-family-detention-reveals-adults-fighting-kids-for-clean-water/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,,,Texas,,,
ea96b024-2240-4155-879e-9d2178c4f02b,Courts side with college students in blow to Trump’s cruelty,dailykos.com,2025-06-21,policy,https://www.dailykos.com/story/2025/6/20/2329218/-Courts-side-with-college-students-in-blow-to-Trump-s-cruelty?pm_campaign=blog&pm_medium=rss&pm_source=,,,,,,
92f0fb14-f029-406d-96eb-57c2960cca4e,Mahmoud Khalil Returns Home After Judge Orders Release From ICE Custody in Louisiana,vanityfair.com,2025-06-21,detention,https://www.vanityfair.com/news/story/mahmoud-khalil-returns-home-after-judge-orders-release-from-ice-custody-in-louisiana,,Newark,New Jersey,,,
53468b99-a69c-4183-bf7a-84dbead6a7ed,Mahmoud Khalil arrives in New Jersey after release from ICE custody,cbsnews.com,2025-06-21,detention,https://www.cbsnews.com/news/mahmoud-khalil-ice-detention-release-arrives-new-jersey/,,,New Jersey,,,
1bbad5b8-5828-4ce8-b22b-bc19b96759d0,Caribbean Matters: Racist ICE raids target Dominicans in Puerto Rico,dailykos.com,2025-06-21,raid,https://www.dailykos.com/story/2025/6/21/2328220/-Caribbean-Matters-Racist-ICE-raids-target-Dominicans-in-Puerto-Rico?pm_campaign=blog&pm_medium=rss&pm_source=,,,PR,,,
096fd9ce-e94c-4865-8ca0-0cbb31ccefc0,LA Dodgers defy Trump with $1 million for families hit by ICE raids,newsweek.com,2025-06-21,raid,https://www.newsweek.com/los-angeles-dodgers-1-million-dollars-pledge-families-ice-raids-donald-trump-2088805,,,,,,
b770ff42-7876-4c3d-bf80-bda9f6b5fd3f,Rep. Maxwell Frost introduces legislation to make ICE more accountable,dailykos.com,2025-06-21,policy,https://www.dailykos.com/story/2025/6/21/2329198/-Rep-Maxwell-Frost-introduces-legislation-to-make-ICE-more-accountable?pm_campaign=blog&pm_medium=rss&pm_source=,,,,,,
3b74dbeb-8e19-4637-8a03-7131311fca62,Israel-Iran live updates: B2 bombers headed to Guam as conflict enters 9th day,nbcnews.com,2025-06-21,unknown,https://www.nbcnews.com/world/middle-east/live-blog/israel-iran-conflict-rcna214241#rcrd82894,,,,,,
f218a6e9-2845-4fcd-8964-45035330688b,Authoritarianism starts with arrest of public officials,baltimoresun.com,2025-06-21,opinion,https://www.baltimoresun.com/2025/06/21/authoritarianism-starts-with-arrest-of-public-officials-reader-commentary/,,,,,,
eb1c855f-0286-4156-8e31-cbb67f47d249,Columbia student Mahmoud Khalil returns home to New York area,nbcnews.com,2025-06-21,unknown,https://www.nbcnews.com/news/us-news/mahmoud-khalil-returns-home-rcna214258,,,,,,
5723b720-121c-4d5e-9aec-d5fae95c4928,"Oregon Dems vote to prevent Trump from deploying Oregon National Guard, as he did in California",oregonlive.com,2025-06-21,policy,https://www.oregonlive.com/politics/2025/06/oregon-dems-vote-to-prevent-trump-from-deploying-oregon-national-guard-as-he-did-in-california.html,,,,,,
366f79e8-de33-4d27-a203-21f08134fdf2,"Man Charged With Stalking, Attempted Kidnapping Of Memphis Mayor",newsone.com,2025-06-21,unknown,https://newsone.com/6247346/man-charged-with-stalking-attempted-kidnapping-of-memphis-mayor/,,,,,,
e95ae5bf-7448-4302-9f6c-c34dbd2d883b,Pasadena cancels parks activities today on reports of federal immigration actions,ocregister.com,2025-06-21,raid,https://www.ocregister.com/2025/06/21/pasadena-cancels-parks-activities-today-on-reports-of-federal-immigration-activity/,,Pasadena,CA,,,
